asset_id,week_start,n_sales,median_price,low,high
eb01850c-2908-4e11-8350-e5ac4d27e80b,2024-10-28,1,69,69,69
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2023-11-27,1,51,51,51
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2023-12-18,1,46,46,46
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2023-12-25,1,45,45,45
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-01-08,2,29.3,28,30.6
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-01-15,1,46.9,46.9,46.9
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-01-22,1,21.5,21.5,21.5
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-02-05,2,20.26,20,20.51
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-04-29,1,20,20,20
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-07-01,1,13.5,13.5,13.5
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-07-08,1,28.79,28.79,28.79
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-07-29,3,12.5,10.02,59
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-09-30,1,25,25,25
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2024-11-18,1,14.61,14.61,14.61
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2025-03-17,1,20,20,20
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2025-05-12,1,12.5,12.5,12.5
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2025-06-30,1,12,12,12
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2025-07-28,1,23.5,23.5,23.5
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-01-12,1,23.5,23.5,23.5
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-01-26,1,21,21,21
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-02-16,1,15.6,15.6,15.6
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-02-23,1,31.3,31.3,31.3
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-05-25,1,30,30,30
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-07-06,2,41.5,35,48
eb0227f9-a1fd-410e-b03f-e7279c3b2fbd,2026-08-17,2,28.26,28.01,28.5
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-03-22,1,2000,2000,2000
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-05-24,1,1470,1470,1470
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-06-28,2,1100,898,1302
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-07-19,1,2250,2250,2250
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-07-26,1,1800,1800,1800
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-08-02,1,2055.12,2055.12,2055.12
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-08-09,1,1300,1300,1300
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-09-13,1,1515,1515,1515
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-10-04,1,1700,1700,1700
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-10-11,1,2100,2100,2100
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-10-18,1,1600,1600,1600
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-10-25,1,775,775,775
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-11-08,1,2500,2500,2500
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-11-15,1,1925,1925,1925
eb0245af-5aff-417a-a242-4bf4f3c6a037,2021-11-29,1,1650,1650,1650
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-01-03,1,1900,1900,1900
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-01-24,1,1920,1920,1920
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-02-14,1,1900,1900,1900
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-02-21,1,1680,1680,1680
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-02-28,2,1787.5,1675,1900
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-03-21,1,1611.24,1611.24,1611.24
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-04-11,1,1290,1290,1290
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-04-18,1,1470,1470,1470
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-05-02,1,1933.21,1933.21,1933.21
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-05-23,1,1440,1440,1440
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-06-06,1,1780,1780,1780
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-07-18,2,1695,1590,1800
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-09-05,1,1925,1925,1925
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-09-12,1,1705,1705,1705
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-10-10,1,2100,2100,2100
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-10-24,1,2719.4,2719.4,2719.4
eb0245af-5aff-417a-a242-4bf4f3c6a037,2022-12-05,2,1755,1560,1950
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-03-06,1,1525,1525,1525
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-05-15,1,2040,2040,2040
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-05-22,1,2035,2035,2035
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-06-05,1,1900,1900,1900
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-06-19,1,1900,1900,1900
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-06-26,1,1800,1800,1800
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-09-11,1,1895,1895,1895
eb0245af-5aff-417a-a242-4bf4f3c6a037,2023-10-09,1,2400,2400,2400
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-02-12,1,2300,2300,2300
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-02-26,1,1825,1825,1825
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-05-20,1,2000,2000,2000
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-06-17,1,1775,1775,1775
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-07-22,1,1800,1800,1800
eb0245af-5aff-417a-a242-4bf4f3c6a037,2024-08-05,1,2899.99,2899.99,2899.99
