asset_id,week_start,n_sales,median_price,low,high
6d033a46-9506-4e9e-b74f-9a6b549dab74,2022-07-25,1,95,95,95
6d033a46-9506-4e9e-b74f-9a6b549dab74,2022-10-24,1,48,48,48
6d033a46-9506-4e9e-b74f-9a6b549dab74,2022-10-31,1,55.01,55.01,55.01
6d033a46-9506-4e9e-b74f-9a6b549dab74,2022-12-12,2,35.5,26,44.99
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-01-09,2,25.25,20.5,30
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-02-13,1,16.5,16.5,16.5
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-03-06,1,16.5,16.5,16.5
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-03-20,1,19.5,19.5,19.5
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-04-24,1,24.99,24.99,24.99
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-05-01,1,22.72,22.72,22.72
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-05-15,2,27.49,27,27.99
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-06-19,1,25,25,25
6d033a46-9506-4e9e-b74f-9a6b549dab74,2023-07-31,1,35,35,35
6d033a46-9506-4e9e-b74f-9a6b549dab74,2024-04-29,1,28,28,28
6d033a46-9506-4e9e-b74f-9a6b549dab74,2024-10-21,1,15,15,15
6d033a46-9506-4e9e-b74f-9a6b549dab74,2024-11-04,1,11,11,11
6d033a46-9506-4e9e-b74f-9a6b549dab74,2024-11-25,1,15.5,15.5,15.5
6d033a46-9506-4e9e-b74f-9a6b549dab74,2025-01-20,1,25,25,25
6d033a46-9506-4e9e-b74f-9a6b549dab74,2025-02-17,1,29,29,29
6d033a46-9506-4e9e-b74f-9a6b549dab74,2025-04-07,1,31.49,31.49,31.49
6d033a46-9506-4e9e-b74f-9a6b549dab74,2025-09-15,1,24.99,24.99,24.99
6d033a46-9506-4e9e-b74f-9a6b549dab74,2026-03-16,1,34.99,34.99,34.99
6d084371-786f-4b1d-954e-2dc6c6708bd7,2023-11-13,1,30,30,30
6d084371-786f-4b1d-954e-2dc6c6708bd7,2024-10-21,1,17,17,17
